trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.994}",20,1,-64.65369660102087,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.988}",35,0,-95.7667158450115,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.982}",20,0,-71.48407349226626,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.976}",20,0,-8.701329847638172,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.97}",20,0,-90.12395709294128,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.964}",25,0,-60.49668588326106,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.958}",20,0,-31.381002395919314,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.952}",30,0,-205.04669776957257,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.946}",25,0,-70.07398957271946,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.94}",20,0,-132.44810265475718,"{0: 8, 1: 7, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9339999999999999}",25,0,-53.48185871618556,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9279999999999999}",25,0,-120.13643816558343,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9219999999999999}",20,0,8.918221723482338,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9159999999999999}",30,0,-211.47496135604354,"{0: 14, 1: 4, 2: 7, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-181.8454529787828,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9039999999999999}",25,0,-82.41388683300312,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8979999999999999}",25,0,-144.2219338511353,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8919999999999999}",30,0,-199.36847323916643,"{0: 18, 1: 6, 2: 1, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.8859999999999999}",25,0,-125.53948559300358,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-52.193102374094806,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8739999999999999}",20,0,-185.97175333422356,"{0: 11, 1: 2, 2: 1, 3: 3, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8679999999999999}",25,2,-53.58011242807631,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 2}",1
23,False,"{'a': 0.5, 'e': 0.8619999999999999}",25,0,-139.58934726813723,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8559999999999999}",25,16,-12.405701764649983,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-101.2080928912254,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8439999999999999}",25,0,-55.39889500371183,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8379999999999999}",30,0,-104.91895213624372,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8319999999999999}",25,6,-60.065363114776524,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 0}",1
