trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.495, 'e': 0.9998555034800082}",20,8,-68.19407552709794,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.49005, 'e': 0.9994220556785212}",20,0,-159.84996636384685,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
3,False,"{'a': 0.48514949999999996, 'e': 0.9986997818589368}",20,0,-147.1452631952577,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.480298005, 'e': 0.9976888907533621}",25,0,-66.24738626422248,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.47549502494999996, 'e': 0.9963896745022904}",30,0,-98.03632154970434,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.47074007470049994, 'e': 0.994802508570176}",20,0,-77.5470870361509,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.46603267395349496, 'e': 0.9929278516369265}",25,0,-144.79114767420725,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.46137234721396, 'e': 0.990766245465348}",20,0,-72.49828640086862,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.45675862374182036, 'e': 0.9883183147445792}",25,0,-164.5757929285494,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.45219103750440215, 'e': 0.9855847669095608}",25,0,-70.09715855035445,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.44766912712935814, 'e': 0.9825663919365915}",25,0,-68.89998928045688,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.44319243585806456, 'e': 0.9792640621150305}",20,0,-88.16151478284812,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.4387605114994839, 'e': 0.9756787317952123}",25,0,-109.0930075139134,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.43437290638448905, 'e': 0.971811437112645}",25,0,-144.97197356828337,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.43002917732064416, 'e': 0.9676632956885756}",25,0,-134.37506586855633,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.4257288855474377, 'e': 0.9632355063070045}",20,0,-131.0162561234204,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.4214715966919633, 'e': 0.9585293485682455}",20,0,-89.50883427324091,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.4172568807250437, 'e': 0.9535461825191301}",20,0,-122.12527712726344,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.41308431191779327, 'e': 0.9482874482599637}",20,0,-130.98955955284248,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.4089534687986153, 'e': 0.9427546655283462}",35,2,-91.20791160949902,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 0}",1
21,False,"{'a': 0.40486393411062915, 'e': 0.9369494332599788}",30,0,-168.2106331281739,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
22,False,"{'a': 0.4008152947695229, 'e': 0.9308734291265828}",30,0,-103.84577376568888,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.39680714182182764, 'e': 0.9245284090510633}",25,0,-135.46167879229554,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
24,False,"{'a': 0.3928390704036094, 'e': 0.9179162067000607}",20,0,-105.67228251120684,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.38891067969957327, 'e': 0.9110387329540337}",35,0,-88.75060701568601,"{0: 23, 1: 3, 2: 8, 3: 1, 4: 0}",0
26,False,"{'a': 0.38502157290257755, 'e': 0.9038979753550273}",20,0,-135.35765365605027,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
27,False,"{'a': 0.3811713571735518, 'e': 0.8964959975322879}",25,0,-75.87938735718416,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.37735964360181623, 'e': 0.8888349386058886}",25,6,-37.619320898325014,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 0}",1
29,False,"{'a': 0.3735860471657981, 'e': 0.8809170125685377}",20,0,-67.90376541870137,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.3698501866941401, 'e': 0.8727445076457513}",25,16,-7.286373386003978,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.3661516848271987, 'e': 0.8643197856345712}",25,0,-77.46067676198426,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.3624901679789267, 'e': 0.8556452812210225}",20,0,-47.20091388022397,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
33,False,"{'a': 0.3588652662991374, 'e': 0.846723501276506}",30,11,-36.47284425653186,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
34,False,"{'a': 0.35527661363614604, 'e': 0.83755702413333}",30,0,-58.3655291700895,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
35,False,"{'a': 0.3517238474997846, 'e': 0.82814849883959}",20,0,-69.64217594538309,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.34820660902478673, 'e': 0.8185006443936124}",25,0,-58.85629502479637,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
37,False,"{'a': 0.34472454293453886, 'e': 0.8086162489581828}",20,0,-84.546994171354,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.3412772975051935, 'e': 0.7984981690547867}",20,0,-113.70321250526887,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.33786452453014154, 'e': 0.7881493287380938}",25,3,-20.149166217508522,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
40,False,"{'a': 0.33448587928484014, 'e': 0.7775727187509279}",25,0,-146.77433376957313,"{0: 13, 1: 0, 2: 9, 3: 2, 4: 1}",0
41,False,"{'a': 0.33114102049199173, 'e': 0.7667713956599618}",30,0,-119.55329860517963,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
42,False,"{'a': 0.3278296102870718, 'e': 0.7557484809723912}",25,11,-19.838565374713347,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.3245513141842011, 'e': 0.7445071602338414}",30,0,-127.39683749772198,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.32130580104235906, 'e': 0.7330506821077661}",25,16,-19.365068855281738,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.31809274303193547, 'e': 0.7213823574366063}",20,0,-167.30779989673712,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
46,False,"{'a': 0.31491181560161613, 'e': 0.7095055582849801}",30,0,-209.6702727632872,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
47,False,"{'a': 0.3117626974456, 'e': 0.69742371696518}",35,22,-18.12684929346488,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.308645070471144, 'e': 0.6851403250452572}",20,1,0.8483459261921986,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.30555861976643256, 'e': 0.6726589323399843}",25,3,-68.07078301033349,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 1}",1
50,False,"{'a': 0.30250303356876823, 'e': 0.6599831458849822}",35,0,-102.86804144797625,"{0: 24, 1: 1, 2: 9, 3: 0, 4: 1}",0
51,False,"{'a': 0.29947800323308055, 'e': 0.6471166288943128}",25,0,-67.10837389656626,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
52,False,"{'a': 0.2964832232007497, 'e': 0.634063099701835}",25,0,-78.41613775318595,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
53,False,"{'a': 0.2935183909687422, 'e': 0.6208263306866333}",25,0,-16.10283421779659,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.29058320705905477, 'e': 0.6074101471828243}",20,0,7.780281417223387,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.28767737498846424, 'e': 0.5938184263740639}",25,0,-33.738339929395536,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.2848006012385796, 'e': 0.5800550961730674}",35,0,-40.53376722034698,"{0: 26, 1: 4, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.2819525952261938, 'e': 0.5661241340864698}",25,0,-118.80424335656598,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
58,False,"{'a': 0.2791330692739319, 'e': 0.5520295660653544}",20,2,-7.042108778857,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.27634173858119254, 'e': 0.5377754653417808}",20,0,-20.60326167503856,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.2735783211953806, 'e': 0.5233659512516496}",35,0,-119.75526935102056,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",1
61,False,"{'a': 0.2708425379834268, 'e': 0.508805188044242}",20,9,-70.63672301630135,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
62,False,"{'a': 0.2681341126035925, 'e': 0.4940973836787822}",20,13,-12.237157269415832,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.2654527714775566, 'e': 0.47924678860836484}",20,4,8.193984238650378,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.262798243762781, 'e': 0.46425769455160537}",20,9,11.012154431622713,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.2601702613251532, 'e': 0.4491344332523616}",25,0,-38.30642836514735,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.25756855871190165, 'e': 0.43388137522789066}",20,13,6.296436784287493,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.25499287312478264, 'e': 0.41850292850580045}",25,3,-8.359595793349191,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.2524429443935348, 'e': 0.40300353735015915}",25,4,8.80130118947447,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.24991851494959946, 'e': 0.38738768097713494}",20,12,13.139252974151262,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.24741932980010348, 'e': 0.37165987226053276}",25,13,-5.703955917275451,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.24494513650210245, 'e': 0.35582465642760625}",25,4,24.10183250337742,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.24249568513708142, 'e': 0.3398866097455174}",20,4,-46.59322314678879,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.2400707282857106, 'e': 0.3238503381988286}",20,0,-83.69885103393314,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
74,False,"{'a': 0.2376700210028535, 'e': 0.3077204761584039}",25,0,-23.187702323093788,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
75,False,"{'a': 0.23529332079282497, 'e': 0.2915016850421088}",20,0,8.100770335923567,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.2329403875848967, 'e': 0.2751986519676933}",25,14,21.894919649801302,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.23061098370904776, 'e': 0.2588160883982459}",25,8,3.132078676140621,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.22830487387195728, 'e': 0.24235872878061585}",20,5,14.91428365998391,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.2260218251332377, 'e': 0.22583132917718868}",20,5,-43.57020378932629,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.22376160688190533, 'e': 0.20923866589141926}",20,16,4.849365253797655,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.22152399081308627, 'e': 0.19258553408751172}",20,0,32.19468108600064,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.2193087509049554, 'e': 0.17587674640465115}",35,18,5.663208154822758,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.21711566339590585, 'e': 0.15911713156618487}",20,13,15.201592611477164,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.2149445067619468, 'e': 0.14231153298415355}",20,0,-1.450259984260254,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.21279506169432733, 'e': 0.12546480735958065}",20,0,27.256550876188978,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
